2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status not-installed libfribidi0:amd64 <none>
2018-07-05 17:02:23 status installed shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 remove shared-mime-info:amd64 1.5-2ubuntu0.1 <none>
2018-07-05 17:02:23 status half-configured shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status half-installed shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 purge shared-mime-info:amd64 1.5-2ubuntu0.1 <none>
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status config-files shared-mime-info:amd64 1.5-2ubuntu0.1
2018-07-05 17:02:23 status not-installed shared-mime-info:amd64 <none>
2018-07-05 17:02:23 status installed libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 remove libxmlsec1-openssl:amd64 1.2.20-2ubuntu4 <none>
2018-07-05 17:02:23 status half-configured libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status half-installed libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1-openssl:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status not-installed libxmlsec1-openssl:amd64 <none>
2018-07-05 17:02:23 status installed libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 remove libxmlsec1:amd64 1.2.20-2ubuntu4 <none>
2018-07-05 17:02:23 status half-configured libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status half-installed libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status config-files libxmlsec1:amd64 1.2.20-2ubuntu4
2018-07-05 17:02:23 status not-installed libxmlsec1:amd64 <none>
2018-07-05 17:02:23 status installed libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 remove libxslt1.1:amd64 1.1.28-2.1ubuntu0.1 <none>
2018-07-05 17:02:23 status half-configured libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 status half-installed libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 status config-files libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 status config-files libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 status config-files libxslt1.1:amd64 1.1.28-2.1ubuntu0.1
2018-07-05 17:02:23 status not-installed libxslt1.1:amd64 <none>
2018-07-05 17:02:23 status installed libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 remove libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5 <none>
2018-07-05 17:02:23 status half-configured libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 status half-installed libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 status config-files libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 status config-files libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 status config-files libxml2:amd64 2.9.3+dfsg1-1ubuntu0.5
2018-07-05 17:02:23 status not-installed libxml2:amd64 <none>
2018-07-05 17:02:23 status installed libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 remove libicu55:amd64 55.1-7ubuntu0.4 <none>
2018-07-05 17:02:23 status half-configured libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 status half-installed libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 status config-files libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 status config-files libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 status config-files libicu55:amd64 55.1-7ubuntu0.4
2018-07-05 17:02:23 status not-installed libicu55:amd64 <none>
2018-07-05 17:02:23 status installed libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 remove libmagic1:amd64 1:5.25-2ubuntu1.1 <none>
2018-07-05 17:02:23 status half-configured libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status half-installed libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 purge libmagic1:amd64 1:5.25-2ubuntu1.1 <none>
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status config-files libmagic1:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:23 status not-installed libmagic1:amd64 <none>
2018-07-05 17:02:23 status installed libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 remove libmspack0:amd64 0.5-1ubuntu0.16.04.1 <none>
2018-07-05 17:02:23 status half-configured libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 status half-installed libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libmspack0:amd64 0.5-1ubuntu0.16.04.1
2018-07-05 17:02:23 status not-installed libmspack0:amd64 <none>
2018-07-05 17:02:23 status installed python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 remove python3-newt:amd64 0.52.18-1ubuntu2 <none>
2018-07-05 17:02:23 status half-configured python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status half-installed python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status config-files python3-newt:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status not-installed python3-newt:amd64 <none>
2018-07-05 17:02:23 status installed libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 remove libnewt0.52:amd64 0.52.18-1ubuntu2 <none>
2018-07-05 17:02:23 status half-configured libnewt0.52:amd64 0.52.18-1ubuntu2
2018-07-05 17:02:23 status half-installed libnewt0.52:amd64 0.52.18-1ubuntu2
